URLs Downloaded, size, # of outlinks found, content-type
https://www.cnn.com/2018/09/12/europe/germany-sexual-abuse-catholic-church-intl/index.html,1744172,190,text/html
https://www.cnn.com/specials/cnn-underscored/wellness/,90437,2,text/html
https://www.cnn.com/2018/09/26/politics/important-issue-vote-pew-supreme-court/index.html,1547138,83,text/html
https://www.cnn.com/2018/09/04/asia/new-zealand-journalist-nauru-intl/index.html,1721305,196,text/html
https://www.cnn.com/travel/article/azerbaijan-hammams/index.html,160279,62,text/html
https://www.cnn.com/2018/09/25/health/iyw-girl-named-florence-collects-donations-trnd/index.html,1720611,192,text/html
https://www.cnn.com/election,1565623,108,text/html
https://www.cnn.com/2018/09/29/football/manchester-united-west-ham-jose-mourinho-liverpool-chelsea-spt-intl/index.html,1714783,190,text/html
https://www.cnn.com/videos/politics/2018/09/28/jeff-flake-kavanaugh-confronted-by-protesters-elevator-nr-vpx.cnn,1771724,100,text/html
https://www.cnn.com/profiles/tom-foreman-profile,1592484,198,text/html
https://www.cnn.com/specials/more/cnn-leadership,1584712,203,text/html
https://www.cnn.com/profiles/ivan-watson,1632913,221,text/html
https://www.cnn.com/2018/08/06/sport/nude-golf-australia-nudist-spt-intl/index.html,1636121,227,text/html
https://www.cnn.com/americas,1596494,208,text/html
https://www.cnn.com/videos/politics/2018/09/29/chris-cuomo-closing-argument-kavanaugh-hearing-darkest-before-dawn-sot-vpx.cnn,1771226,100,text/html
https://www.cnn.com/travel/videos,75782,46,text/html
https://www.cnn.com/style/article/danila-tkachenko-restricted-areas/index.html,156502,39,text/html
https://www.cnn.com/videos/weather/2018/09/25/weather-update-flooding-tuesday-vpx.cnn,1807675,204,text/html
https://www.cnn.com/2018/09/06/australia/sinead-mcnamara-death-statement-intl/index.html,1587567,185,text/html
https://www.cnn.com/videos/politics/2018/09/29/jeff-flake-protesters-trump-kavanaugh-ford-orig-jm.cnn,1760901,99,text/html
https://www.cnn.com/2018/09/29/us/hurricane-cowboy-animal-rescues/index.html,1594005,189,text/html
https://www.cnn.com/profiles/athena-jones-profile,1590456,198,text/html
https://www.cnn.com/profiles/laura-jarrett,1631975,219,text/html
https://www.cnn.com/2018/09/20/us/boy-prays-flooding-hurricane-florence-trnd/index.html,1585336,185,text/html
https://www.cnn.com/2018/09/26/politics/donald-trump-news-conference-kavanaugh-un/index.html,1754554,122,text/html
https://www.cnn.com/2018/09/24/europe/germany-spy-chief-promotion-retracted-grm-intl/index.html,1595276,193,text/html
https://www.cnn.com/videos/politics/2018/09/28/trump-orders-fbi-probe-kavanaugh-allegations-raju-dnt-tsr-vpx.cnn,1774707,100,text/html
https://www.cnn.com/interactive/storm-tracker/,10286,12,text/html
https://www.cnn.com/specials/cnn-underscored/gadgets/,147774,2,text/html
https://www.cnn.com/2018/09/28/us/florence-flooding-aftermath/index.html,1717807,196,text/html
https://www.cnn.com/videos/politics/2018/09/29/fact-check-jake-tapper-brett-kavanaugh-denial-claims-orig.cnn,1767649,100,text/html
https://www.cnn.com/2018/09/12/australia/australia-nine-year-old-anthem-intl/index.html,1745752,215,text/html
https://www.cnn.com/2018/09/27/europe/skripal-poisoning-bellingcat-report-intl/index.html,1715583,192,text/html
https://www.cnn.com/profiles/matt-rivers,1629948,218,text/html
https://www.cnn.com/profiles/samuel-burke-profile,1592209,197,text/html
https://www.cnn.com/2018/09/24/us/florence-georgetown-flooding-wxc/index.html,1742018,192,text/html
https://www.cnn.com/videos/politics/2018/09/28/mattingly-kavanaugh-vote-fbi-pkg-lead-vpx.cnn,1770694,100,text/html
https://www.cnn.com/2018/09/29/europe/medicane-zorba-greece-turkey-intl/index.html,1710150,192,text/html
https://www.cnn.com/travel/gallery/azerbaijan-hammams-photos/index.html,78809,40,text/html
https://www.cnn.com/2017/03/04/vr/how-to-watch-vr/index.html,1516903,64,text/html
https://www.cnn.com/profiles/clare-sebastian-profile,1592104,199,text/html
https://www.cnn.com/2018/09/26/us/florence-second-wettest-storm-wxc-trnd/index.html,1588797,190,text/html
https://www.cnn.com/profiles/leyla-santiago-profile,1590456,196,text/html
https://www.cnn.com/2018/09/23/world/strawberries-new-zealand-australia/index.html,1765304,215,text/html
https://www.cnn.com/2017/11/01/health/wine-moms-strauss/index.html,1724841,207,text/html
https://www.cnn.com/2018/09/28/europe/erdogan-germany-visit-grm-intl/index.html,1601131,201,text/html
https://www.cnn.com/profiles/manu-raju,1678963,214,text/html
https://www.cnn.com/videos/politics/2018/09/25/joe-biden-trump-john-mccain-death-response-sot-vpx.cnn/video/playlists/top-news-videos/,1763093,100,text/html
https://www.cnn.com/2018/09/14/health/iyw-hurricane-florence-how-to-help-trnd/index.html,1592693,200,text/html
https://www.cnn.com/2017/11/16/health/codeine-prescription-study/index.html,1643770,218,text/html
https://www.cnn.com/profiles/erica-hill-profile,1591526,197,text/html
https://www.cnn.com/2018/09/11/opinions/serena-williams-cartoon-australia-barry/index.html,1714119,193,text/html
https://www.cnn.com/travel/article/captain-cook-endeavour-boat-intl/index.html,111491,51,text/html
https://www.cnn.com/2017/10/25/health/cdc-mumps-outbreak-syracuse-university/index.html,1717803,195,text/html
https://www.cnn.com/profiles/natalie-allen-profile,1592213,197,text/html
https://www.cnn.com/videos/entertainment/2018/09/29/marty-balin-dies-jefferson-airplane-starship-singer-vpx.hln/video/playlists/top-news-videos/,1763120,100,text/html
https://www.cnn.com/profiles/w-kamau-bell-profile,1621817,227,text/html
https://www.cnn.com/videos/travel/2018/09/19/the-hms-endeavour-could-finally-be-found-orig-tc.cnn,1805576,202,text/html
https://www.cnn.com/videos/us/2018/09/23/florence-dead-fish-north-carolina-highway-flooding-vpx-nr.cnn,1804139,202,text/html
https://www.cnn.com/2017/11/06/health/baby-technology-products-teching/index.html,1764428,225,text/html
https://www.cnn.com/2018/09/28/us/florence-flood-jail-van-drowning/index.html,1713164,189,text/html
https://www.cnn.com/2017/10/19/health/children-smartphone-tablet-use-report/index.html,1824240,220,text/html
https://www.cnn.com/videos/tv/2018/09/25/iyw-florence-donation-campaign-trnd.wls,1806678,206,text/html
https://www.cnn.com/2017/10/13/opinions/adoption-uganda-opinion-davis/index.html,1832455,228,text/html
https://www.cnn.com/2018/09/26/us/florence-georgetown-flooding-wxc/index.html,1742234,192,text/html
https://www.cnn.com/2017/09/13/health/money-talking-to-kids-parenting/index.html,1751294,212,text/html
https://www.cnn.com/2018/09/27/us/florence-flooding-aftermath-trnd/index.html,1713734,194,text/html
https://www.cnn.com/profiles/ana-cabrera-profile,1633643,221,text/html
https://www.cnn.com/2018/08/30/sport/australia-nfl-punting-factory-intl-spt/index.html,1678367,243,text/html
https://www.cnn.com/style/article/south-australia-shiva-statue-stolen-intl/index.html,221489,63,text/html
https://www.cnn.com/2017/11/27/health/girls-adhd-signs-partner/index.html,1721438,201,text/html
