18/10/19 08:45:28 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.10-hadoop2
18/10/19 08:45:29 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.3:8032
18/10/19 08:45:30 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/10/19 08:45:31 INFO input.FileInputFormat: Total input files to process : 74
18/10/19 08:45:32 INFO mapreduce.JobSubmitter: number of splits:74
18/10/19 08:45:32 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1539660100403_0008
18/10/19 08:45:32 INFO impl.YarnClientImpl: Submitted application application_1539660100403_0008
18/10/19 08:45:32 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1539660100403_0008/
18/10/19 08:45:32 INFO mapreduce.Job: Running job: job_1539660100403_0008
18/10/19 08:45:40 INFO mapreduce.Job: Job job_1539660100403_0008 running in uber mode : false
18/10/19 09:02:14 INFO mapreduce.Job:  map 100% reduce 78%
18/10/19 09:02:20 INFO mapreduce.Job:  map 100% reduce 79%
18/10/19 09:02:25 INFO mapreduce.Job:  map 100% reduce 80%
18/10/19 09:02:30 INFO mapreduce.Job:  map 100% reduce 81%
18/10/19 09:02:32 INFO mapreduce.Job:  map 100% reduce 82%
18/10/19 09:02:38 INFO mapreduce.Job:  map 100% reduce 83%
18/10/19 09:02:44 INFO mapreduce.Job:  map 100% reduce 84%
18/10/19 09:02:50 INFO mapreduce.Job:  map 100% reduce 85%
18/10/19 09:02:55 INFO mapreduce.Job:  map 100% reduce 86%
18/10/19 09:03:00 INFO mapreduce.Job:  map 100% reduce 87%
18/10/19 09:03:06 INFO mapreduce.Job:  map 100% reduce 88%
18/10/19 09:03:08 INFO mapreduce.Job:  map 100% reduce 89%
18/10/19 09:03:14 INFO mapreduce.Job:  map 100% reduce 90%
18/10/19 09:03:20 INFO mapreduce.Job:  map 100% reduce 91%
18/10/19 09:03:26 INFO mapreduce.Job:  map 100% reduce 92%
18/10/19 09:03:32 INFO mapreduce.Job:  map 100% reduce 93%
18/10/19 09:03:38 INFO mapreduce.Job:  map 100% reduce 94%
18/10/19 09:03:44 INFO mapreduce.Job:  map 100% reduce 95%
18/10/19 09:03:56 INFO mapreduce.Job:  map 100% reduce 96%
18/10/19 09:04:07 INFO mapreduce.Job:  map 100% reduce 97%
18/10/19 09:04:19 INFO mapreduce.Job:  map 100% reduce 98%
18/10/19 09:04:37 INFO mapreduce.Job:  map 100% reduce 99%
18/10/19 09:04:49 INFO mapreduce.Job:  map 100% reduce 100%
18/10/19 09:05:02 INFO mapreduce.Job: Job job_1539660100403_0008 completed successfully
18/10/19 09:05:03 INFO mapreduce.Job: Counters: 55
	File System Counters
		FILE: Number of bytes read=20405756916
		FILE: Number of bytes written=30858190523
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=3358558058
		GS: Number of bytes written=91427943
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=10508
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=74
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters
		Killed map tasks=1
		Launched map tasks=74
		Launched reduce tasks=5
		Rack-local map tasks=74
		Total time spent by all maps in occupied slots (ms)=16261920
		Total time spent by all reduces in occupied slots (ms)=5332592
		Total time spent by all map tasks (ms)=4065480
		Total time spent by all reduce tasks (ms)=1333148
		Total vcore-milliseconds taken by all map tasks=4065480
		Total vcore-milliseconds taken by all reduce tasks=1333148
		Total megabyte-milliseconds taken by all map tasks=8326103040
		Total megabyte-milliseconds taken by all reduce tasks=2730287104
	Map-Reduce Framework
		Map input records=74
		Map output records=550945931
		Map output bytes=9338597991
		Map output materialized bytes=10440492073
		Input split bytes=10508
		Combine input records=0
		Combine output records=0
		Reduce input groups=1076758
		Reduce shuffle bytes=10440492073
		Reduce input records=550945931
		Reduce output records=1076758
		Spilled Records=1627596319
		Shuffled Maps =370
		Failed Shuffles=0
		Merged Map outputs=370
		GC time elapsed (ms)=126781
		CPU time spent (ms)=3628680
		Physical memory (bytes) snapshot=99383975936
